signal_id,observed_at,source_id,signal_type,value,confidence,player_id,team_id,fixture_id,gameweek,valid_from,expires_at,status,source_url,note
odds-api-team_expected_goals-ee99154f8db029efcf567c5f7f7a0c0b-13-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.196104,1.0,,13,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-8b4b033209bb204516cbd1f523614f25-4-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.410147,1.0,,4,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-8b4b033209bb204516cbd1f523614f25-19-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.331701,1.0,,19,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-8b4b033209bb204516cbd1f523614f25-4-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.802684,1.0,,4,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-8b4b033209bb204516cbd1f523614f25-19-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.765621,1.0,,19,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-8b4b033209bb204516cbd1f523614f25-4-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.234379,1.0,,4,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-8b4b033209bb204516cbd1f523614f25-19-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.197316,1.0,,19,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-8b4b033209bb204516cbd1f523614f25-4-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.622948,1.0,,4,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-8b4b033209bb204516cbd1f523614f25-19-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.450817,1.0,,19,2,1,2026-07-23T14:37:19+00:00,2026-08-22T20:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-f5086c74d4a767e3ad7ea69bd4a66b76-5-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.416594,1.0,,5,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
